dataset,module,graph_variant,alpha,metric,target,spearman,n_donors,n_graph_genes_present,seed_mass_present
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q99,AT8,0.41725220208565356,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q99,6e10/A_beta,0.3788397286625494,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q99,GFAP,0.2834058924774729,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q99,Iba1,0.1894704869899767,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,q99,NeuN,-0.16899868381087377,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,top_5pct_mean,AT8,0.458681785967399,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,top_5pct_mean,6e10/A_beta,0.4016401741419459,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,top_5pct_mean,GFAP,0.3375923863521312,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,top_5pct_mean,Iba1,0.19566670041510578,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,top_5pct_mean,NeuN,-0.20078971347575175,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,fraction_high_global_q95,AT8,0.45308196996167466,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,fraction_high_global_q95,6e10/A_beta,0.3945002430745629,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,fraction_high_global_q95,GFAP,0.3362425077637366,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,fraction_high_global_q95,Iba1,0.15723716186602918,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,fraction_high_global_q95,NeuN,-0.18860359634516363,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,variance,AT8,0.4219702338766832,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,variance,6e10/A_beta,0.35328541054976204,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,variance,GFAP,0.343606358205933,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,variance,Iba1,0.1329148526880632,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.0,variance,NeuN,-0.2212412675913739,84,8,1.0
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,mean,AT8,0.43646856332894607,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,mean,6e10/A_beta,0.37995342715399416,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,mean,GFAP,0.28308190746177986,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,mean,Iba1,0.23211501468057105,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,mean,NeuN,-0.09893692416725726,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q95,AT8,0.4444466943403868,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q95,6e10/A_beta,0.3827882960413081,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q95,GFAP,0.36201275690999296,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q95,Iba1,0.18280854510478894,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q95,NeuN,-0.1709223448415511,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q99,AT8,0.4162802470385744,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q99,6e10/A_beta,0.3793662043130505,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q99,GFAP,0.2859775235395363,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q99,Iba1,0.188458033815936,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,q99,NeuN,-0.17632884479092842,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,top_5pct_mean,AT8,0.45517869798521826,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,top_5pct_mean,6e10/A_beta,0.40240963855421685,84,119,0.9592705161064434
MTG,dam_lipid_trem2_apoe,hub_capped,0.05,top_5pct_mean,GFAP,0.33471701933785564,84,119,0.9592705161064434
